id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,sale_year,sale_month,sale_quarter,sale_month_name,house_age,is_renovated,years_since_update,price_log,age_group,price_per_sqft
7129300520,2014-10-13,221900.0,3,1.0,1180,5650,1.0,0,0,3,7,1180,0,1955,0,98178,47.5112,-122.257,1340,5650,2014,10,4,Oct,59,0,59,12.309986615445005,1950-1990,188.05084745762713
6414100192,2014-12-09,538000.0,3,2.25,2570,7242,2.0,0,0,3,7,2170,400,1951,1991,98125,47.721,-122.319,1690,7639,2014,12,4,Dec,63,1,23,13.195615697878253,1950-1990,209.3385214007782
5631500400,2015-02-25,180000.0,2,1.0,770,10000,1.0,0,0,3,6,770,0,1933,0,98028,47.7379,-122.233,2720,8062,2015,2,1,Feb,82,0,82,12.100717685412471,Pre-1950,233.76623376623377
2487200875,2014-12-09,604000.0,4,3.0,1960,5000,1.0,0,0,5,7,1050,910,1965,0,98136,47.5208,-122.393,1360,5000,2014,12,4,Dec,49,0,49,13.311331132544721,1950-1990,308.16326530612247
1954400510,2015-02-18,510000.0,3,2.0,1680,8080,1.0,0,0,3,8,1680,0,1987,0,98074,47.6168,-122.045,1800,7503,2015,2,1,Feb,28,0,28,13.1421679654829,1950-1990,303.57142857142856
7237550310,2014-05-12,1225000.0,4,4.5,5420,101930,1.0,0,0,3,11,3890,1530,2001,0,98053,47.6561,-122.005,4760,101930,2014,5,2,May,13,0,13,14.018452218287162,Post-1990,226.01476014760146
1321400060,2014-06-27,257500.0,3,2.25,1715,6819,2.0,0,0,3,7,1715,0,1995,0,98003,47.3097,-122.327,2238,6819,2014,6,2,Jun,19,0,19,12.458778882573533,Post-1990,150.14577259475217
2008000270,2015-01-15,291850.0,3,1.5,1060,9711,1.0,0,0,3,7,1060,0,1963,0,98198,47.4095,-122.315,1650,9711,2015,1,1,Jan,52,0,52,12.583998677043747,1950-1990,275.3301886792453
2414600126,2015-04-15,229500.0,3,1.0,1780,7470,1.0,0,0,3,7,1050,730,1960,0,98146,47.5123,-122.337,1780,8113,2015,4,2,Apr,55,0,55,12.343662665771719,1950-1990,128.93258426966293
3793500160,2015-03-12,323000.0,3,2.5,1890,6560,2.0,0,0,3,7,1890,0,2003,0,98038,47.3684,-122.031,2390,7570,2015,3,1,Mar,12,0,12,12.685410698175234,Post-1990,170.8994708994709
